"Designator","Description","MPN","DigiKeyPN","Price","Stock","URL"
"J3","JST-PH 2-pin battery connector","B2B-PH-K-S(LF)(SN)","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-PH-K-S-LF-SN/926626"
"J5","JST-PH 2-pin heater connector","B2B-PH-K-S(LF)(SN)","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/detail/jst-sales-america-inc/B2B-PH-K-S-LF-SN/926626"
"J2","Pin socket 1x4","M20-7820445","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/detail/harwin-inc/M20-7820445/3728226"
"J4","Pin header 1x5","M20-7820545","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/detail/harwin-inc/M20-7820545/3728327"
"SW2","Slide switch SPST","JS102011SAQN","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/detail/c-k/JS102011SAQN/1640100"
"SW3","Rotary encoder","EC11E","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/filter/encoders/102?s=N4IgTCBcDaIBIEMC0AYAXATGGA2YB2Aziug"
"POGO1","Pogo pin P75","P75-E2","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/filter/test-points-contact-probes/613"
"POGO2","Pogo pin P75","P75-E2","FETCH_FAILED","N/A","N/A","https://www.digikey.com/en/products/filter/test-points-contact-probes/613"
